,es,pt,fr,be,lu,nl,de,dk,cz,pl,sk,ch,at,it,si,hu,ro,hr,ba,me,rs,bg,mk,gr,al,ee,fi,lt,lv,no,se,uk,ie
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004437755625,0.0,0.0,0.0,0.0,0.0007586718750000001,6.440625e-05,0.10088875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0011313125,0.0,0.0,0.0,0.0,0.0,0.000723125,0.008910734375,0.011825,0.0,0.007398515625000001,1.50929842,0.002113375,0.122041592625,0.3928208109375,0.03208790625000001,0.0231573125,0.01385321875,0.14958,0.3270044375,0.07964777437500001,0.9472000482812499,0.047841571875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.91109518671875,0.010655843750000001,1.3710899195624997,0.01129078125,0.00291296875,0.0111235,0.707758640625,0.000882309375,0.16405200875,0.23536328671874998,0.3195115,0.22465403125,0.55756572515625,8.859290358437502,0.1611863825,1.09616499465625,1.4939432440625,0.45023055375,0.17587514890625,0.0790278125,0.63828590625,1.11782292578125,0.286726749375,1.80441643625,0.19801919265625,0.00195693609375,0.000350234375,0.012821453125,0.00950675515625,0.0,0.012497113593750001,0.0,0.0
8,12.13460329790625,1.1188536890625,11.07213460959375,0.8219033884687501,0.05120870312499999,0.66864123240625,5.7172295,0.0248621425,0.6733027928124999,0.81638216296875,0.8406285,1.4798201874999999,1.52946205703125,23.23137182709375,0.4647982074999999,2.21593811684375,2.68737294953125,0.9823697724999998,0.37313288875,0.147181453125,1.189227999375,1.8348816484375,0.4758514087499999,2.27951803546875,0.37411478109375,0.01575774578125,0.01571955203125,0.07353239765625,0.0575185153125,0.0045697395312499995,0.11954162140624999,0.16045510937500002,0.0011388125
9,28.05968452778125,3.33664188,24.3434639564375,3.4085558863125,0.13492678125,2.74634417990625,12.61559609375,0.044270683125,1.2598931140625,1.5186298860937502,1.272628,2.91430103125,2.18221136171875,35.4065847359375,0.7160274824999999,3.0334517103125,3.4826441445312497,1.37502174,0.5097610325,0.193011,1.56922196625,2.28951576953125,0.59430223125,3.00199680953125,0.5084252978125,0.02587968625,0.043533636093749994,0.14102738078125,0.10013684140625,0.0492474346875,0.21293600968749998,1.1256379077500003,0.0347038125
