,pl,es,ch,se,sk,lu,at,fr,ba,gr,uk,pt,cz,be,no,dk,it,bg,ro,ee,hu,mk,hr,de,fi,nl,ie,lv,al,si,rs,lt,me
hu,0.0,0.0,0.0,0.0,171.9676665481043,0.0,284.1972455883413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.4504557549411,0.0,0.0,0.0,273.9777741441813,0.0,0.0,0.0,0.0,0.0,0.0,383.5605448491802,367.1525313381347,0.0,0.0
mk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.4691832433992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.5923946150165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.8666873679442,0.0,271.6994302257551,0.0,0.0
hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.9203641597059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.9483675044698,0.0,0.0,0.0,273.9777741441813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.2712288351521,371.9363335747128,0.0,0.0
de,559.9904745173434,0.0,175.4294926316553,859.419565978716,0.0,162.3777054893929,758.9263130442093,440.86308029633915,0.0,0.0,0.0,0.0,431.42496784550065,222.646202278413,651.8154622506281,602.9533092294516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7399.173028182336,0.0,432.7760423853958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fi,0.0,0.0,0.0,975.6834202784339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.3876337984735,0.0,0.0,0.0,0.0,403.6772523117942,0.0,0.0,0.0,0.0,995.2231117593682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.6752748443247,0.0,0.0,191.2098627398702,739.3697996442646,498.6450556307562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.7760423853958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.3124096108761,0.0,0.0,573.0277688519143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.3871424967823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.7271269843883,0.0
al,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.014667278649,0.0,0.0,0.0,0.0,0.0,0.0,335.3506383608059,0.0,0.0,0.0,0.0,159.8666873679442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.3921722122399,0.0,190.2286664122944
si,0.0,0.0,0.0,0.0,0.0,0.0,168.4714869703476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.4688374178029,0.0,0.0,0.0,383.5605448491802,0.0,161.2712288351521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.8780416346222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.9788999018093,284.6875998511351,0.0,367.1525313381347,271.6994302257551,371.9363335747128,0.0,0.0,0.0,0.0,0.0,325.3921722122399,0.0,0.0,0.0,180.1567819095357
lt,348.7485424901443,0.0,0.0,697.7501773973261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.7271269843883,0.0,0.0,0.0,0.0,0.0
me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.4938223711643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0652713222991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.2286664122944,0.0,180.1567819095357,0.0,0.0
