,es,pt,fr,be,lu,nl,de,dk,cz,pl,sk,ch,at,it,si,hu,ro,hr,ba,me,rs,bg,mk,gr,al,ee,fi,lt,lv,no,se,uk,ie
0,0,0,0,2.768570866935484,0,15.34966669959678,25.95466751851852,23.70032320248737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7753375,2.74678392454955,15.040032627828563,0
1,0,0,0,2.740261239919355,0,15.31039882862903,26.01491740740741,23.49920155460552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.868628125,2.701594735360361,15.057504141365646,0
2,0,0,0,2.788522076612903,0,15.34569907258065,25.94106751851852,23.80037217256121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90308125,2.662142173423423,15.132989849029478,0
3,0,0,0,2.829092540322581,0,15.40409663104838,26.05607566666667,23.98399176059075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915221875,2.721911176801802,15.043009285833472,0
4,0,0,0,2.795222328629032,0,15.42571806653226,26.18975044444445,24.39942526233968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.917846875,2.760099802927928,15.058234819226156,0
5,0,0,0,2.807989868951613,0,15.44237075201613,26.22456707407407,24.70967835211815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.918296875,2.791821368243244,15.11886170600567,0
6,0,0,0,2.869493044354838,0,15.4600171875,26.32558359259259,24.85041958802954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9180625,2.865137246621621,15.05551552750711,0
7,0,0,0,2.910936592741936,0,15.46970625,26.36245848148149,24.92039020598523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.917921875000001,2.901546311936937,15.081042765482412,0
8,0,0,0,2.934508971774194,0,15.4687125,26.37308348148148,24.91719020598523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.916534375,2.869262246621622,15.000367235062596,0
9,0,0,0,2.933228679435484,0,15.4749234375,26.39982511111111,24.90279020598523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.911209375,2.880778997747748,14.666460021892986,0
10,0,0,0,2.933167137096774,0,15.4769109375,26.40659174074074,24.89639020598523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9071875,2.905108811936937,14.282065236893876,0
11,0,0,0,2.939993346774194,0,15.47791206048387,26.39260011111111,24.8972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91073125,2.906953125,13.295452475135116,0
12,0,0,0,2.957955393145161,0,15.47791206048387,26.41126674074074,24.8908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91556875,2.907046875,10.897820231054261,0
13,0,0,0,2.962141935483872,0,15.47865737298387,26.42954174074074,24.8916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915221875,2.915015625,11.771989175607915,0
14,0,0,0,2.963079435483871,0,15.47890581048387,26.41466674074074,24.9016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.918015625,2.909953125,14.422092081160589,0
15,0,0,0,2.963548185483871,0,15.47915424798387,26.40744174074074,24.91359020598523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.918390625,2.898326435810811,15.19139169679897,0
16,0,0,0,2.963797227822581,0,15.47915424798387,26.42313337037037,24.92519020598523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9184375,2.897592623873874,15.24979901863126,0
17,0,0,0,2.963876310483871,0,15.47369599596774,26.41874988888889,24.92678041197046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.918484375,2.91178125,15.243010732840622,0
18,0,0,0,2.963876310483871,0,15.43026367137097,26.00618192592593,24.91237061795569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.918484375,2.919829251126126,15.244046969024744,0
19,0,0,0,2.963876310483871,0,15.26143676612903,25.49239722222222,24.77865308977847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.918484375,2.922829251126126,15.27527014308265,0
20,0,0,0,2.963876310483871,0,14.91677509475807,24.64373707407407,24.66298453167509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9184375,2.923860501126126,15.299174282159674,0
21,0,0,0,2.963876310483871,0,14.70414208669355,23.99474444444444,24.61500411970463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.918390625,2.924064189189189,15.248388079077316,0
