,fr,be,no,ee,de,it,lv,si,es,pl,hu,gr,ro,cz,uk,me,se,pt,at,hr,al,nl,dk,ie,lt,lu,rs,ba,ch,sk,fi,mk,bg
hu,24583.992347156283,1486.864488104538,17074.86233345914,1748.877741576844,7481.16650365521,6915.253005672553,1487.463237479982,480.6817215452386,28262.112950603994,3572.9976616583344,0.0,2460.666429808808,1804.2587187534748,1050.227799115797,13720.634088849294,632.9718426620465,8462.145537195696,6101.520737297435,1555.3439069950114,432.1902747978506,873.2157929371097,1485.795412638179,2930.1861694925283,2678.982605569959,1251.265421049848,1330.540655684702,477.3012011065515,462.8370176298802,2208.9639857092043,223.5464983557425,5170.27541658631,836.6476344053267,869.3352797024346
gr,71408.42169622808,5009.990855496971,51145.287348895035,5709.052542256637,30409.887086999406,15072.325821501625,5177.183975992083,2678.726243293462,65298.713855934664,19018.172429520477,2460.666429808808,737.8148347000777,6114.187271321522,6879.194770808011,40021.785722797955,1357.090493911599,26615.375274895487,13870.613197132077,9292.966384662837,2231.8311446852285,906.4697913040171,5165.24804645452,10739.604706886397,7375.534171231652,4722.391918390997,4650.537677264238,1506.4498320872776,1856.9915309007142,7669.241692719838,2882.868344004785,14871.284688571728,790.9963830181499,1212.8690245981588
ro,99360.93556241631,6230.414844017866,58811.793420141024,5621.453505940948,34346.65956464913,27099.906064003702,4834.622050608788,3093.326138756922,102135.63811941129,15724.251826516296,1804.2587187534748,6114.187271321523,1961.0079072452806,6504.90556111327,51484.281848428946,2254.987589752872,29227.0411616589,21530.231684974624,9988.929027139913,2666.797196746076,2596.377430990608,6181.007961769599,11634.300774695563,9784.27305630253,4182.1796033536375,5770.906943922405,1556.8861052086227,2354.227903026875,10100.747516224154,2085.8887734950913,16423.42186822175,2146.5000737560836,1405.0988172455916
cz,39642.34566724073,2035.117684541949,28082.48659939836,3098.730524474109,8390.086926217758,15322.833973672332,2636.596820071177,1076.6793403244733,51632.49529042583,5430.478323182491,1050.227799115797,6879.194770808011,6504.905561113271,493.1448197187494,21473.62853771004,2140.60092931362,13789.711938707103,11175.929381526668,2214.6739425965507,1381.9498346432174,2644.80388616233,1961.3381672597034,3908.267495199905,4372.0170011886075,2204.35623977423,1770.001476395435,1953.0134014788268,1674.0444285239437,3310.1540564394036,798.5087778592335,9251.224695814972,2652.531274658513,2783.6363043799256
uk,109592.94339843967,5119.019985096938,74060.70991910326,14542.46279030823,54018.1306568595,84783.17294040785,14202.15440237438,12047.967367013747,127019.72403757542,60730.74334350604,13720.634088849294,40021.78572279796,51484.281848428946,21473.628537710043,14836.848898769049,15994.505112677052,46495.90137071284,24995.22910252252,33023.70865920171,13381.009231277087,17371.5734458629,5004.645868804632,14909.194146345793,3215.4147371145473,13775.41944220726,6165.876990493716,16015.71998891126,14514.373176559637,17594.056857977874,13095.719889679858,32275.672170655707,17826.508501399687,18827.6974038635
me,26499.739889168242,1833.803790149277,21294.524830218943,2369.232757428495,10518.059913208652,5018.045193868251,2104.82540899359,663.1168461994835,27378.849497759264,6679.364070958783,632.9718426620465,1357.090493911599,2254.987589752872,2140.60092931362,15994.505112677052,0.0,10951.975890384816,5980.30193375946,2637.512434414412,439.0704470773524,253.1018985328678,1906.819163624431,4071.647283736239,3023.862522388866,1869.063421620382,1655.234359380723,241.877540101727,251.1450381485937,2536.9390969621027,856.5156597696749,6427.414054686733,312.5839746563929,636.4204898531425
se,145948.53783758826,7333.202824438409,24633.151440095025,3984.487147633242,45248.26318727322,70479.48452850411,4383.93377383344,8949.99142828443,153653.67949462336,29243.95648593659,8462.145537195696,26615.375274895487,29227.0411616589,13789.711938707103,46495.90137071283,10951.975890384816,10725.39108149823,30432.07253293856,24331.580302262275,9580.724720161996,11933.148699912492,6366.1085008620175,7663.969407081366,9121.24667641815,4759.604894270652,7554.791361535218,10339.933443105536,10104.681446347477,17861.559147793476,7593.064114981803,7803.436494435348,11763.590913477134,11421.097206905764
pt,47521.13397199489,4043.929368664365,52507.94261497233,8208.417679211778,34133.806064202625,27660.78998074862,7897.258699652068,5149.636623166745,13704.501479786499,32579.448321054006,6101.520737297435,13870.613197132077,21530.231684974624,11175.929381526668,24995.229102522517,5980.30193375946,30432.07253293856,686.518330643815,15433.159714976837,5414.209191487439,6188.823274361871,4498.966707675646,11687.485814564681,3890.884472080661,7568.812966660814,4067.584554792149,6304.307132907814,5679.351940192151,7924.602470128797,6208.194658118155,18379.722455880576,6527.916926044719,7249.125341555746
at,51892.85752349086,3033.4962995246096,47887.555555085666,5621.872391259942,14227.931345684978,17460.06750894371,4916.739963367091,820.3904704668803,69498.98299723047,12462.662581504343,1555.3439069950114,9292.966384662837,9988.929027139913,2214.6739425965507,33023.70865920171,2637.512434414412,24331.58030226228,15433.159714976835,1568.0440533862275,1380.4226415762196,3371.183527811207,3168.907744879156,7371.366670019584,6620.883316438031,4253.685466384269,2532.4963968286365,2564.93119031881,1900.5614063461278,3619.1575640724577,1599.2360780083332,15824.571129552158,3506.1045554342045,3979.965693080098
hr,20863.360003551963,1396.965357866958,18710.89696563379,2132.662261934173,7523.073488010028,4564.586580244493,1878.271126620078,224.0922113094332,24367.990282241277,5311.475991555719,432.1902747978506,2231.8311446852285,2666.797196746076,1381.9498346432174,13381.009231277087,439.0704470773524,9580.724720161996,5414.209191487439,1380.4226415762196,0.0,681.0947347628211,1468.185089990064,3271.86450452697,2590.855022028418,1644.271406456403,1219.639674216221,478.2794839300617,189.8717675458817,1720.6024358957477,613.9244844018004,5888.299677905203,744.1979765182652,976.0839610409864
al,29222.616259951625,2063.644802139458,23032.035588964412,2588.457439421555,12224.819868305458,5341.332097396171,2322.612373849882,903.0203834573359,28516.938222227618,7860.1004677521,873.2157929371097,906.4697913040171,2596.377430990608,2644.80388616233,17371.5734458629,253.1018985328678,11933.148699912492,6188.823274361871,3371.183527811207,681.0947347628211,0.0,2147.610685599559,4577.583993082686,3245.237562797502,2088.2152905085,1883.352796615071,423.0069574829475,498.9391130607223,2948.2217633648597,1095.629031945291,6880.037061936509,191.2890439898971,607.4374117259903
nl,13418.907953730908,248.5171493487252,11368.780524076567,1873.359786162975,3552.3285991491293,10333.285340963055,1749.520495460088,1244.849383969424,21146.014345420957,6276.166346127363,1485.795412638179,5165.24804645452,6181.007961769599,1961.3381672597034,5004.645868804632,1906.819163624431,6366.1085008620175,4498.966707675646,3168.907744879156,1468.185089990064,2147.610685599559,0.0,1360.7659918412373,1209.097065138492,1625.494578365782,362.5912153161805,1887.006464181873,1655.936051378683,1663.9508921568804,1377.598583828619,4730.414537955611,2205.284725536712,2346.887012568117
dk,45632.71213413228,1832.6928060168357,15412.67116451873,2469.085879839203,10214.66235624804,25118.053319914234,2302.440246416483,2887.446226612993,56889.99899565328,9459.509265185836,2930.1861694925283,10739.604706886397,11634.300774695563,3908.2674951999047,14909.194146345792,4071.647283736239,7663.969407081364,11687.485814564681,7371.366670019584,3271.86450452697,4577.583993082686,1360.7659918412373,464.2482760246506,3265.012261394284,2160.840286444891,1927.2379450276958,3870.8489922247427,3594.3941170209737,5292.698569066602,2556.531634625519,6827.867354061074,4580.439457466193,4623.322341529678
ie,21594.02766388361,1200.126825979192,14441.342372322093,2818.942484179052,11669.609428162254,15874.16847500699,2773.545336292253,2369.702507209255,20901.486879289845,12184.274670187386,2678.982605569959,7375.534171231652,9784.27305630253,4372.0170011886075,3215.4147371145473,3023.862522388866,9121.24667641815,3890.884472080661,6620.883316438031,2590.855022028418,3245.237562797502,1209.097065138492,3265.012261394284,0.0,2708.905329890161,1372.475110514727,3044.968322098458,2780.271786815369,3561.214394277891,2584.544099398656,6052.802412976334,3333.975031071651,3524.197356156712
lt,34192.60696591411,1803.053555849405,11081.11204321953,500.4121818890277,9603.390209949095,13831.264907873141,236.2464945161242,1570.325957574611,37069.80319087305,3257.9049898718386,1251.265421049848,4722.391918390997,4182.1796033536375,2204.35623977423,13775.41944220726,1869.063421620382,4759.604894270652,7568.812966660814,4253.685466384269,1644.271406456403,2088.2152905085,1625.494578365782,2160.840286444891,2708.905329890161,0.0,1756.37336470104,1665.625018490953,1713.176973818669,3762.439486736616,1037.054330636577,2715.1037450456142,1999.521537823575,1825.07621501652
lu,9381.133318987819,181.9321769397344,13778.776050691844,2076.606511121474,3274.6742957681286,8325.842645074923,1915.840989511534,997.583995713747,18251.648146197746,6411.409182967292,1330.540655684702,4650.537677264238,5770.906943922405,1770.001476395435,6165.876990493716,1655.234359380723,7554.791361535218,4067.584554792149,2532.4963968286365,1219.639674216221,1883.352796615071,362.5912153161805,1927.2379450276958,1372.475110514727,1756.37336470104,0.0,1673.216201584504,1409.388678701717,962.0177663294666,1273.820526382192,5295.514336356673,1963.656523272621,2156.491338143557
rs,27848.638546384067,1845.292767734321,20364.73699802944,2165.743222573403,10277.063221632703,6176.197852320125,1899.783519998367,683.2805576334991,29185.341102675255,5829.235867103238,477.3012011065515,1506.4498320872776,1556.8861052086227,1953.0134014788268,16015.71998891126,241.877540101727,10339.933443105536,6304.307132907814,2564.93119031881,478.2794839300617,423.0069574829475,1887.006464181873,3870.8489922247427,3044.968322098458,1665.625018490953,1673.216201584504,0.0,314.4424066767162,2675.279651587668,691.8648502045883,6037.615201331514,359.4151385011783,497.8048547820542
ba,23366.614986979825,1586.83243402643,19730.660254773113,2209.511386467071,8785.761578497886,4716.914145194929,1949.239362745127,413.6075766589017,25769.992627752086,5758.747904992414,462.8370176298802,1856.9915309007142,2354.227903026875,1674.0444285239437,14514.373176559637,251.1450381485937,10104.681446347477,5679.351940192151,1900.5614063461278,189.8717675458817,498.9391130607223,1655.936051378683,3594.3941170209737,2780.271786815369,1713.176973818669,1409.388678701717,314.4424066767162,0.0,2080.832311256152,677.8367723771405,6077.8477329993275,554.340699695619,806.4091886656892
ch,18844.997434620265,1310.496100798694,33276.224281470786,4559.718960841215,9128.529580209675,11022.33777203028,4155.3829755886145,1328.6397608159095,33720.71740743462,13166.829034748343,2208.9639857092043,7669.241692719838,10100.747516224155,3310.1540564394036,17594.056857977874,2536.9390969621027,17861.55914779348,7924.602470128797,3619.1575640724577,1720.6024358957477,2948.2217633648597,1663.9508921568804,5292.698569066603,3561.214394277891,3762.439486736616,962.0177663294666,2675.279651587668,2080.832311256152,216.6498943360726,2259.749828881266,11793.348256069436,3161.875419579267,3669.895488287105
sk,24752.36347453936,1413.802726675143,15619.207094514531,1531.92310604661,6789.046584476255,7901.650010906667,1272.711756828421,591.6010367950663,28985.3241311108,2512.8974291390123,223.5464983557425,2882.868344004785,2085.8887734950913,798.5087778592335,13095.719889679858,856.5156597696749,7593.064114981803,6208.194658118155,1599.2360780083332,613.9244844018004,1095.629031945291,1377.598583828619,2556.531634625519,2584.544099398656,1037.054330636577,1273.820526382192,691.8648502045883,677.8367723771405,2259.749828881266,0.0,4727.14029867392,1050.4588435401,1034.144253085604
fi,95731.98877503446,5212.05113575279,16659.910744522113,1731.2646734197283,32689.633700154896,42639.72020384493,2260.1573505387864,5656.223980300759,93937.36207443732,19148.05547828731,5170.27541658631,14871.284688571728,16423.42186822175,9251.224695814972,32275.672170655704,6427.414054686733,7803.436494435349,18379.72245588058,15824.571129552158,5888.299677905203,6880.037061936509,4730.414537955611,6827.867354061074,6052.802412976334,2715.1037450456142,5295.514336356673,6037.615201331514,6077.8477329993275,11793.348256069436,4727.14029867392,1341.5843942759584,6712.931455839092,6344.46823193002
mk,31077.3855436777,2141.160893824344,22851.971442000282,2497.425123965289,12538.179023603238,6335.465409607414,2230.895920398233,967.5304158114471,30372.941798898628,7589.770025585756,836.6476344053267,790.9963830181499,2146.5000737560836,2652.531274658513,17826.508501399687,312.5839746563929,11763.590913477134,6527.916926044719,3506.1045554342045,744.1979765182652,191.2890439898971,2205.284725536712,4580.439457466193,3333.975031071651,1999.521537823575,1963.656523272621,359.4151385011783,554.340699695619,3161.875419579267,1050.4588435401,6712.931455839092,0.0,416.6642735003438
bg,35210.52265944513,2324.42652562597,22474.044481704394,2306.64474188497,13423.117898073144,8558.620274476341,2043.621736809024,1177.389683819583,34340.79400258782,7222.693692244859,869.3352797024346,1212.8690245981588,1405.0988172455916,2783.6363043799256,18827.6974038635,636.4204898531425,11421.097206905764,7249.125341555746,3979.965693080098,976.0839610409864,607.4374117259903,2346.887012568117,4623.322341529678,3524.197356156712,1825.07621501652,2156.491338143557,497.8048547820542,806.4091886656892,3669.895488287105,1034.144253085604,6344.46823193002,416.6642735003438,0.0
